Username,followers,listed_count,degree,mentioned
MooneyDoc2,435,9,0.000179308,1
BDawggCOMT,267,5,0.000358616,1
Chalgaro,115,5,0.000358616,1
Zero_Ryuzaki,94,0,0.000358616,1
HawkinsHolden,59,0,0.000358616,1
Chatothebear,93,3,0.000358616,1
PlayNation,2001,3,0.000179308,1
SonorousD,91,0,0.000179308,1
ShantaeZagami,109,8,0.000358616,1
mf_ribcage,121,3,0.000358616,1
GreyScaleLJH,848,11,0.000358616,1
Alex_Drake79,1037,49,0.000358616,1
BlandrewYT,2556,21,0.000358616,1
Christian_AFx,116,0,0.000358616,1
TheNasher61,53383,92,0.000179308,1
coL_Amazonian,17307,126,0.000179308,1
iconicqueen12,209,1,0.000358616,1
RealKoolkitty9,220,0,0.000358616,1
GelsenGaming,147,1,0.000358616,1
Gotti_stream,36,0,0.000358616,1
RandyClancy,159,1,0.000358616,1
GarmoreW,35,2,0.000358616,1
AidanToye04,148,2,0.000358616,1
Jacurtis95,466,8,0.000358616,1
maagsauce,67,2,0.000358616,1
CubeBc,537,1,0.000358616,1
n0c0ntextzelda,565,2,0.000179308,1
MattLeidholm,407,14,0.000358616,1
sech28,26703,39,0.000358616,1
Bagbot_,155,3,0.000358616,1
Blackopulous,81,0,0.000358616,1
weebanimeboi,165,1,0.000358616,1
BoneJanky,11340,46,0.000358616,1
they_new,159,3,0.000358616,1
WilrowHood,182,0,0.000358616,1
MebyChaan,467,0,0.000358616,1
modestomonzon,158,0,0.000179308,1
cornbreadbois,101,0,0.000358616,1
tocardenumero1,172,0,0.000358616,1
Luma_GK,6390,88,0.000358616,1
RootBeerDrunk,17,0,0.000358616,1
ZackSnyder,1321249,3678,0.000179308,1
BigDaddyDou,20,2,0.000358616,1
tsutomes,131,1,0.000358616,1
phoenix_martin,188,1,0.000358616,1
moonymue,630,2,0.000358616,1
tragiculous,458,11,0.000179308,1
CommunistGeek,138,2,0.000179308,1
mmcdonline,385,12,0.000179308,1
Ayden_BP,28,4,0.000358616,1
ToxicEther,30,1,0.000358616,1
rubyenraylls,22933,110,0.000179308,1
ScottHa63721366,425,1,0.000179308,1
nappymaskshop,273,3,0.000358616,1
alabamabatman,1212,4,0.000179308,1
vaultboy81,242,4,0.000179308,1
ThaDangerousOne,497,10,0.000358616,1
sp00ky_deer,245,3,0.000179308,1
brennemania,763,24,0.000358616,1
BardicKnowledge,2331,63,0.000358616,1
carlonoias,887,2,0.000179308,1
MonsterMazeYT,3715,15,0.000358616,1
oddieoats,108,4,0.000179308,1
hyrulefields64,604,15,0.000358616,1
Animation_Voice,1366,10,0.000358616,1
JokarioArt,5366,104,0.000179308,1
PCBBasketdemon,181,1,0.000179308,1
clowned187,71,2,0.000358616,1
CaydenTheDawg,293,4,0.000358616,1
NarbeVoguel,78,1,0.000358616,1
Goldspira1,22,0,0.000358616,1
DevinValentin3,62,0,0.000358616,1
grande_depresso,50,4,0.000358616,1
UgurkeDub,18,0,0.000358616,1
ROCCATFrance,212057,190,0.000179308,1
BananaChicken22,11,0,0.000179308,1
vivaolives,101,2,0.000179308,1
SeveredSonsDnD,6884,58,0.000179308,1
swissuscheesus,35,0,0.000358616,1
HollowPoiint,268316,135,0.000179308,1
JessicaMelody16,48,0,0.000358616,1
ksenialuwuis,71,2,0.000179308,1
1derpaul,137,9,0.000358616,1
C3_Mada,348,2,0.000179308,1
HeatherOnStevia,237,7,0.000358616,1
madipupofficial,1557,11,0.000358616,1
Tankian76,113,0,0.000179308,1
Samantha_Clause,414,4,0.000358616,1
ReindeerPoyo,526,14,0.001075847,1
bilal_67m,52,0,0.000358616,1
FavianQuezada,1230,50,0.000358616,1
odiginews,1,0,0.000358616,1
streakydesign,115,13,0.000358616,1
timeforwizards,164,2,0.000358616,1
Pepe_SMT,126,7,0.000358616,1
udamaster,1294,32,0.000179308,1
navuyo,1050,5,0.000179308,1
kreativKAZU,146,1,0.000179308,1
KairaEridan,650,14,0.000358616,1
whiteshadows823,652,4,0.000358616,1
wheezyzone,318,1,0.000537924,1
Trashqueen_01,7108,43,0.000358616,1
themoulinrogue,373,1,0.000358616,1
iamtherealoutis,822,1,0.000358616,1
J_Goxed,289,0,0.000358616,1
heyyyalan,950,26,0.000358616,1
bfoxpriest,181,8,0.000358616,1
mlettini,495,47,0.000358616,1
notyourguts,396,4,0.000358616,1
heya_rogy,361,6,0.000358616,1
msifrance,318914,310,0.000179308,1
AndreaPichinini,14563,55,0.000179308,1
hobby_consolas,328878,1640,0.000179308,1
Baljeets_minion,6,0,0.000537924,1
littlelightiny,40,0,0.000179308,1
3BroLives,5,0,0.000358616,1
WinterLayea,101,1,0.000358616,1
zilognmotohost,459,4,0.000358616,1
TheNamesCam1,426,5,0.000358616,1
AntonioMLNW,350,1,0.000179308,1
klorofilledZ,460,0,0.000358616,1
_Vixory,80,3,0.000358616,1
AlgandarsPlague,82,1,0.000358616,1
LighterFluuid,6,0,0.000358616,1
TheDawgMiner,243,4,0.000358616,1
PrinnyTonic,1103,18,0.000358616,1
chaoticpopcornn,39,0,0.000358616,1
jurkperson,315,0,0.000537924,1
666pigeon,315201,2346,0.000179308,1
DaveBromez,83,1,0.000358616,1
eldritchshota,172,2,0.000358616,1
HelloJackTseng,1611,13,0.000179308,1
kingboozx3,421,0,0.000358616,1
ThirteenXIII1,86,2,0.001075847,1
princehk1999,45,0,0.000179308,1
Lazy_kates,431,4,0.000179308,1
kuja488,28,1,0.000537924,1
Nesquik_Queen,39,0,0.000358616,1
Bubblepopspit,441,4,0.000358616,1
ItMePorkate,96,1,0.000358616,1
Pink_So1,229,2,0.000358616,1
BerMEWdez728,2250,53,0.000358616,1
tgtkai,418,4,0.000358616,1
druxenn,33,0,0.000358616,1
thorlarshanson,197,1,0.000358616,1
PawsYourGame,1743,6,0.000179308,1
ItsWhiteThunder,335,3,0.000537924,1
ouiszn,24,0,0.000358616,1
2D2Will,239,9,0.000358616,1
RedMaou,507,16,0.000358616,1
Mikawas_,1170,4,0.000358616,1
smolmallowz,73,0,0.000358616,1
RavioliBoi7,4,0,0.000358616,1
dash_ideas,178,1,0.000358616,1
JinMukangbruh,25,0,0.000358616,1
ProblematicLamb,202,2,0.000358616,1
SavageMembrane,381,9,0.000358616,1
jbrawleyPV,2442,8,0.000358616,1
gillian_nickel,284,0,0.000358616,1
1upCAD,94,4,0.000358616,1
Bad_OverHere,375,8,0.000358616,1
devinator26,122,1,0.000358616,1
Emeraldrox303,245,11,0.000358616,1
6ter,39170,160,0.000179308,1
DGalatovich,65,0,0.000358616,1
flesh_knight,4194,16,0.000179308,1
christian_knapp,234,1,0.000358616,1
Oreboat1,42,0,0.000358616,1
WandererAlexthe,620,1,0.000358616,1
faits,153,14,0.000358616,1
CodmFelto,0,0,0.000179308,1
Andyblarg,125,2,0.000179308,1
KhayyaamButt,514,4,0.000358616,1
Princesa_Zelda_,138,6,0.000179308,1
SuperBunnyBun,201,9,0.000358616,1
solarsaber_,13977,73,0.000179308,1
OfficialRWBY,109253,204,0.000179308,1
cr0bar,8817,22,0.000179308,1
aliensyndrome,202,0,0.000358616,1
MrWolfmiester,6,0,0.000358616,1
_Be_not_Afraid,3200,10,0.000358616,1
Cactuceratops,4031,35,0.000358616,1
wyhz72,468,2,0.000358616,1
PissedGreenLink,76,0,0.000358616,1
poIysics,124,0,0.000358616,1
